name,meaning,info_html,ex1,ex2,source
競,Learn Japanese kanji: 【 キョウ、 ケイ / きそ(う)、 せ(る) 】. Meaning: compete with; bid; contest; race.,<em>(No detailed table found)</em>,"Example #1彼が競馬で50万円当たった。ふりがなromajiEnglishかれがけいばで50まんえんあたった。kare ga keiba de 50 manen atatta.He won 500,000 yen in a horse race.",Example #2今度の競走には誰が出るか。ふりがなromajiEnglishこんどのきょうそうにはだれがでるか。kondo no kyousou ni wa dare ga deru ka?Who will be in the next race?,https://jlptsensei.com/learn-japanese-kanji/%e7%ab%b6-kyou-kei-kisou-seru-meaning-compete-with-bid-contest-race/
介,jammed in; shellfish; mediate,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e4%bb%8b-kai-meaning-jammed-in-shellfish-mediate/
根,Learn Japanese kanji: 【 コン / ね 】. Meaning: root; radical.,<em>(No detailed table found)</em>,Example #1台風で屋根が吹き飛んだ。ふりがなromajiEnglishたいふうでやねがふきとんだ。taifuu de yane ga fukitonda.The typhoon blew the roof off.,Example #2彼は屋根の雪を取り除いた。ふりがなromajiEnglishかれはやねのゆきをとりのぞいた。kare wa yane no yuki o torinozoita.He cleared the snow off the roof.,https://jlptsensei.com/learn-japanese-kanji/%e6%a0%b9-kon-ne-meaning-root-radical/
販,"marketing, sell, trade",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%b2%a9-han-marketing-sell/
歴,curriculum; continuation; passage of time,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%ad%b4-reki-meaning-curriculum-continuation-passage-of-time/
将,leader; commander; general; admiral,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e5%b0%86-shou-masani-hata-meaning-leader/
幅,Learn Japanese kanji: 【 フク / はば 】. Meaning: hanging scroll; width.,<em>(No detailed table found)</em>,Example #1タバコの値段が大幅に上がる。ふりがなromajiEnglishタバコのねだんがおおはばにあがる。tabako no nedan ga oohaba ni agaru.The price of cigarettes rises sharply.,Example #2この道の幅はどれくらいですか。ふりがなromajiEnglishこのみちのはばはどれくらいですか。kono michi no haba wa dore kurai desuka?What is the breadth of this road?,https://jlptsensei.com/learn-japanese-kanji/%e5%b9%85-fuku-haba-meaning-hanging-scroll-width/
般,carrier; carry; all; general; sort; kind,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%88%ac-han-meaning-carrier-carry-all-general-sort-kind/
貿,trade; exchange,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%b2%bf-bou-meaning-trade-exchange/
講,Learn Japanese kanji: 【 コウ 】. Meaning: lecture; club; association.,<em>(No detailed table found)</em>,Example #1彼は大学の講師である。ふりがなromajiEnglishかれはだいがくのこうしである。kare wa daigaku no koushi de aru.He is a university lecturer.,Example #2私はその研修を受講する。ふりがなromajiEnglishわたしはそのけんしゅうをじゅこうする。watashi wa sono kenshuu o jukou suru.I will take that training.,https://jlptsensei.com/learn-japanese-kanji/%e8%ac%9b-kou-meaning-lecture/
林,Learn Japanese kanji: 【 リン / はやし 】. Meaning: grove; forest.,<em>(No detailed table found)</em>,Example #1私は森林の中で道に迷った。ふりがなromajiEnglishわたしはしんりんのなかでみちにまよった。watashi wa shinrin no naka de michi ni mayotta.I got lost in the forest.,Example #2パンダは竹林に住んでいます。ふりがなromajiEnglishパンダはちくりんにすんでいます。panda wa chikurin ni sunde imasu.Pandas live in bamboo forests.,https://jlptsensei.com/learn-japanese-kanji/%e6%9e%97-rin-hayashi-meaning-grove-forest/
装,attire; dress; pretend; disguise,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%a3%85-sou-shou-yosoou-meaning-attire-dress-disguise/
諸,various; many; several; together,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%ab%b8-sho-moro-meaning-various-many-several-together/
劇,drama; play,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e5%8a%87-geki-meaning-drama-play/
河,river,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%b2%b3-ka-kawa-meaning-river/
航,navigate; sail; cruise; fly,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%88%aa-kou-meaning-navigate-sail-cruise-fly/
鉄,Learn Japanese kanji: 【 テツ / くろがね 】. Meaning: iron.,<em>(No detailed table found)</em>,Example #1この橋は鉄製です。ふりがなromajiEnglishこのはしはてつせいです。kono hashi wa tetsusei desu.This bridge is made of iron.,Example #2彼はよく地下鉄を利用する。ふりがなromajiEnglishかれはよくちかてつをりようする。kare wa yoku chikatetsu o riyou suru.He often uses the subway.,https://jlptsensei.com/learn-japanese-kanji/%e9%89%84-tetsu-kurogane-meaning-iron/
