grammar_name_en,grammar_name_jp,meaning,how_to_use_html,example_1,example_2,source
beki da,べきだ,"Meaning: should do / must do. Learn Japanese Grammar 日本語文法 - JLPT N3 - べき・べきだ (beki; bekida). Study formation guide, example sentences, and vocabulary list.","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (standard form)</td><td rowspan=""4"">べき（だ）</td></tr><tr><td>Special verb<br/>する OR す<s>る</s></td></tr><tr><td>な-adjective + である</td></tr><tr><td>い-adjective + <s>い</s>くある</td></tr></tbody></table>",Example #1私はそれについてもっと知るべきだ。hintromajiEnglishわたしはそれについてもっとしるべきだ。watashi wa sore ni tsuite motto shiru beki da.I should know more about that.,Example #2約束は守るべきだ。hintromajiEnglishやくそくはまもるべきだ。yakusoku wa mamoru beki da.You should keep your promises.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b9%e3%81%8d%e3%81%a0-beki-da-meaning/
beki dewa nai,べきではない,should not do; must not do ~,<em>(no usage table)</em>,,,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b9%e3%81%8d%e3%81%a7%e3%81%af%e3%81%aa%e3%81%84-beki-dewa-nai-meaning/
betsu ni~nai,別に～ない（べつに～ない）,"Learn Japanese grammar: 【べつに～ない】(betsu ni~nai). Meaning: not really, not particularly.","<table class=""table table-bordered table-sm usage""><tbody><tr><td rowspan=""4"">別に</td><td>Verb (ない form)</td></tr><tr><td>Noun + ではない</td></tr><tr><td>な-adjective + ではない</td></tr><tr><td>い-adjective + <s>い</s>くない</td></tr></tbody></table>",Example #1それは別に悪いことでもない。hintromajiEnglishそれはべつにわるいことでもない。sore wa betsu ni warui koto demo nai.That's not particularly a bad thing.,Example #2別に彼のために作ったわけではない。hintromajiEnglishべつにかれのためにつくったわけではない。betsu ni kare no tame ni tsukutta wake dewa nai.It’s not like I made this for him.,https://jlptsensei.com/learn-japanese-grammar/%e5%88%a5%e3%81%ab%ef%bd%9e%e3%81%aa%e3%81%84-betsu-ni-nai-meaning/
buri ni,ぶりに,Learn Japanese grammar: (buri ni). Meaning: for the first time in (period of time).,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun (measurement of time)</td><td>ぶり（に）<br/>っぷり</td></tr></tbody></table>","Example #1今日、やく2週間ぶりに雨が降った。hintromajiEnglishきょう、やく２しゅうかんぶりにあめがふった。kyou, yaku 2 shuukan buri ni ame ga futta.Today, it rained for the first time in 2 weeks.",Example #2この街に帰ってくるのはもう１０年ぶりだなあ。hintromajiEnglishこのまちにかえってくるのはもう１０ねんぶりだなあ。kono machi ni kaette kuru no wa mou juu nen buri da naa.It's been already 10 years since I last came to this town.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b6%e3%82%8a%e3%81%ab-buri-ni-meaning/
chuu / juu,中（ちゅう）,Learn Japanese grammar: 【ちゅう】(chuu / juu). Meaning: currently; during; at some point; throughout; before the end of ~. Difference between ちゅう and じゅう ちゅう (chuu)...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td>中<br/>ちゅう<br/>じゅう</td></tr></tbody></table>",Example #1私は一晩中泣いていた。hintromajiEnglishわたしはひとばんじゅうないていた。watashi wa hitobanjuu naiteita.I cried all night.,Example #2午前中がいちばん調子がいいです。hintromajiEnglishごぜんちゅうがいちばんちょうしがいいです。gozen chuu ga ichiban choushi ga ii desu.During the morning is the best.,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%ad-chuu-juu-meaning/
dake,だけ,Learn Japanese grammar: (dake). Meaning: as much as ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td rowspan=""4"">だけ</td></tr><tr><td>Noun</td></tr><tr><td>な-adjective + な</td></tr><tr><td>い-adjective</td></tr></tbody></table>",Example #1食べたいだけ食べなさい。hintromajiEnglishたべたいだけたべなさい。tabetai dake tabenasai.Eat as much as you like.,Example #2私はそれをできるだけ早くいただけますか。hintromajiEnglishわたしはそれをできるだけはやくいただけますか。watashi wa sore o dekiru dake hayaku itadakemasu ka?Would I be able to get that as soon as possible?,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91-dake-meaning-as-much-as/
dake de naku,だけでなく,Learn Japanese grammar: (dake de naku). Meaning: not only… but also ~. This is often followed with the second point + も (mo). This may...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td rowspan=""4"">だけでなく</td></tr><tr><td>Noun (である)</td></tr><tr><td>な-adjective + な/である</td></tr><tr><td>い-adjective</td></tr></tbody></table>","Example #1ここのレストランはどれも安いだけでなく、美味しい。hintromajiEnglishここのレストランはどれもやすいだけでなく、おいしい。koko no resutoran wa dore mo yasui dake de naku, oishii.Not only is everything cheap at this restaurant, it is all delicious.","Example #2この公園では、子供だけではなく大人も楽しむことができる。hintromajiEnglishこのこうえんでは、こどもだけではなくおとなもたのしむことができる。kono kouen dewa, kodomo dake dewa naku otona mo tanoshimu koto ga dekiru.This park is enjoyable for not only kids, but for adults as well.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91%e3%81%a7%e3%81%aa%e3%81%8f-dake-de-naku-meaning/
dakedo,だけど,Learn Japanese grammar: (dakedo) & (desu kedo). Meaning: but; however; although; regarding ~. This is the conjunction particle preceded by a 「だ」 or 「です」. To...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual) + んだ/のだ</td><td rowspan=""4"">けど</td></tr><tr><td>Noun + だ/だった/です<br/>Noun + なんだ/なのだ</td></tr><tr><td>な-adjective + だ/だった<br/>な-adjective + なんだ/なのだ</td></tr><tr><td>い-adjective + い/<s>い</s>かった<br/>い-adjective + いんだ/いのだ</td></tr></tbody></table>","Example #1スキー行きたいんだけど、お金が全然ないよ。hintromajiEnglishスキーいきたいんだけど、おかねがぜんぜんないよ。sukii ikitai n dakedo, okane ga zenzen nai yo.I want to go skiing, but I have no money.","Example #2彼女はかわいいんだけど僕のタイプではない。hintromajiEnglishかのじょはかわいいんだけどぼくのタイプではない。kanojo wa kawaii n dakedo boku no taipu dewa nai.She's cute, but not my type.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91%e3%81%a9-dakedo-meaning/
darake,だらけ,Learn Japanese grammar: (darake). Meaning: full of; covered with; a lot of (something undesirable).​ 泥だらけ。 doro darake. Covered in mud.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td>だらけ</td></tr></tbody></table>",Example #1この公園は、猫だらけだ。hintromajiEnglishこのこうえんは、ねこだらけだ。kono kouen wa neko darake da.There are cats all over this park.,Example #2この部屋はゴミだらけだ。hintromajiEnglishこのへやはゴミだらけだ。kono heya wa gomi darake da.This room is completely covered in garbage..,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%82%89%e3%81%91-darake-meaning/
donna ni~temo,どんなに～ても,Learn Japanese grammar: (donna ni~temo). Meaning: no matter how (much). This is used by combining どんなに (donna ni) and ても・でも (temo/demo) form. Review the lesson...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td rowspan=""4"">どんなに</td><td>Verb (ても form)</td></tr><tr><td>Noun + でも</td></tr><tr><td>な-adjective + でも</td></tr><tr><td>い-adjective + <s>い</s>くても</td></tr></tbody></table>","Example #1どんなに頑張っても、70点しか取れなかった。hintromajiEnglishどんなにがんばっても、70てんしかとれなかった。donna ni ganbatte mo, 70 ten shika torenakatta.No matter how hard I tried, I never got more than 70 points.","Example #2どんなに苦しくても最後まで走り抜くつもりだ。hintromajiEnglishどんなにくるしくてもさいごまではしりぬくつもりだ。donna ni kurushiku temo saigo made hashiri nuku tsumori da.No matter how painful it may be, I plan to run all the way until the end.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%82%93%e3%81%aa%e3%81%ab%ef%bd%9e%e3%81%a6%e3%82%82-donna-ni-temo-meaning/
doushitemo,どうしても,Learn Japanese grammar: (doushitemo). Meaning: no matter what; at any cost; after all ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>どうしても</td><td>phrase</td></tr></tbody></table>",Example #1私はどうしても自分の家がほしい。hintromajiEnglishわたしはどうしてもじぶんのいえがほしい。watashi wa doushitemo jibun no ie ga hoshii.I really want to have my own house (to the point I'd do anything).,"Example #2どうしても車が動かなかったので私たちは歩いて行くことにした。hintromajiEnglishどうしてもくるまがうごかなかったのでわたしたちはあるいていくことにした。doushitemo kuruma ga ugokana katta no de watashi tachi wa aruite iku koto ni shita.No matter what we tried the car wouldn't start, so finally we decided to go on foot.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%81%86%e3%81%97%e3%81%a6%e3%82%82-doushitemo-meaning/
furi o suru,ふりをする,"Meaning: to pretend; to act as if. Learn Japanese Grammar 日本語文法 - JLPT N3 - ふりをする (furi o suru). Study guide, example sentences, and vocabulary list.","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual)</td><td rowspan=""4"">ふりをする</td></tr><tr><td>Noun + の</td></tr><tr><td>な-adjective + な</td></tr><tr><td>い-adjective</td></tr></tbody></table>",Example #1彼は聞こえないふりをした。hintromajiEnglishかれはきこえないふりをした。kare wa kikoenai furi o shita.He pretended to not hear.,Example #2彼女は宿題をし終わったふりをしてテレビを見ている。hintromajiEnglishかのじょはしゅくだいをしおわったふりをしてテレビをみている。kanojo wa shukudai o shiowatta furi o shite terebi o miteiru.She pretended that she finished her homework and is watching TV.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b5%e3%82%8a%e3%82%92%e3%81%99%e3%82%8b-furi-o-suru-meaning/
futo,ふと,Learn Japanese grammar: (futo). Meaning: suddenly; accidentally; unexpectedly; unintentionally ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>ふと</td><td>action</td></tr></tbody></table>",Example #1ふと街で彼に会った。hintromajiEnglishふとまちでかれにあった。futo machi de kare ni atta.I met him in the street by chance.,"Example #2学校に行く途中、ふと今日は母の誕生日だったことを思い出した。hintromajiEnglishがっこうにいくとちゅう、ふときょうはははのたんじょうびだったことをおもいだした。gakkou ni iku tochuu, futo kyou wa haha no tanjoubi datta koto o omoidashita.On my way to school I suddenly remembered that today was my mother's birthday.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%b5%e3%81%a8-futo-meaning/
gachi,がち,Learn Japanese grammar: (gachi). Meaning: tend to; tendency to; frequently; often; to do something easily. This is usually used for something negative. Here are some...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td rowspan=""2"">がち</td></tr><tr><td>Verb <s>ます</s> (stem form)</td></tr></tbody></table>","Example #1私は、仕事でミスしがちです。hintromajiEnglishわたしは、しごとでミスしがちです。watashi wa, shigoto de misu shi gachi desu.I tend to make a lot of mistakes at work.","Example #2彼女は、学校をサボりがちです。hintromajiEnglishかのじょは、がっこうをさぼりがちです。kanojo wa, gakkou o sabori gachi desu.She's always skipping school.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c%e3%81%a1-gachi-meaning/
gatai,がたい,"Learn Japanese grammar: (gatai). Meaning: very difficult to; hard to ~. To instead say something is difficult to do (less extreme), use .","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb <s>ます</s> (stem form)</td><td>がたい</td></tr></tbody></table>","Example #1信じがたいことだが、これは事実だ。hintromajiEnglishしんじがたいことだが、これはじじつだ。shinji gatai koto daga, kore wa jijitsu da.This may be hard to believe, but this is the truth.",Example #2許しがたいことです。hintromajiEnglishゆるしがたいことです。yurushi gatai koto desu.This is an unforgivable act.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c%e3%81%9f%e3%81%84-gatai-meaning/
gimi,気味（ぎみ）,Learn Japanese grammar: 【ぎみ】(gimi). Meaning: -like; -looking; -looked; tending to ~. This is used to express that something looks or seems to be a certain...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb <s>ます</s> (stem form)</td><td rowspan=""2"">気味<br/>ぎみ</td></tr><tr><td>Noun</td></tr></tbody></table>",Example #1彼は人の名前を忘れ気味である。hintromajiEnglishかれはひとのなまえをわすれぎみである。kare wa hito no namae o wasure gimi de aru.He tends to forget people's names.,"Example #2昨夜、彼は風邪気味だった。hintromajiEnglishさくや、かれはかぜぎみだった。sakuya, kare wa kaze gimi datta.He had a bit of a cold last night.",https://jlptsensei.com/learn-japanese-grammar/%e6%b0%97%e5%91%b3-%e3%81%8e%e3%81%bf-gimi-meaning/
goto ni,ごとに,Learn Japanese grammar: (goto ni). Meaning: each; every; at intervals of ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td rowspan=""2"">ごとに</td></tr><tr><td>Noun</td></tr></tbody></table>",Example #1バスは１０分ごとに通っている。hintromajiEnglishバスは１０ぷんごとにかよっている。basu wa 10 pun goto ni kayotteiru.The buses run every 10 minutes.,Example #2オリンピックは４年ごとに開催される。hintromajiEnglishオリンピックは４ねんごとにかいさいされる。orinpikku wa yon nen goto ni kaisai sareru.The Olympics are held every 4 years.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%94%e3%81%a8%e3%81%ab-goto-ni-meaning/
hodo,ほど,"Meaning: degree; extent; bounds. Learn Japanese Grammar 日本語文法 - JLPT N3 - 程・ほど (hodo). Study formation guide, example sentences, and vocabulary list.","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual, non-past)</td><td rowspan=""4"">程<br/>ほど</td></tr><tr><td>Noun</td></tr><tr><td>な-adjective + な</td></tr><tr><td>い-adjective</td></tr></tbody></table>",Example #1君ほど美しい人はいません！hintromajiEnglishきみほどうつくしいひとはいません。kimi hodo utsukushii hito wa imasen.There is no one that rivals your beauty.,Example #2死ぬほどのどがかわいている。hintromajiEnglishしぬほどのどがかわいている。shinu hodo nodo ga kawaiteiru.I'm so thirsty I could die..,https://jlptsensei.com/learn-japanese-grammar/%e7%a8%8b-%e3%81%bb%e3%81%a9-hodo-meaning/
hodo~nai,ほど～ない,Learn Japanese grammar: (hodo~nai). Meaning: is not as… as ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td rowspan=""2"">Noun + ほど</td><td>Verb (ない form)</td></tr><tr><td>Adjective (ない form)</td></tr></tbody></table>",Example #1彼女ほど優しい人はいない。hintromajiEnglishかのじょほどやさしいひとはいない。kanojo hodo yasashii hito wa inai.There’s no one as kind as her.,Example #2英語の文法は日本語ほど難しくありません。hintromajiEnglishえいごのぶんぽうはにほんごほどむずかしくありません。eigo no bunpou wa nihongo hodo muzukashiku arimasen.English grammar is not as difficult as Japanese grammar.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%bb%e3%81%a9%ef%bd%9e%e3%81%aa%e3%81%84-hodo-nai-meaning/
ichido ni,一度に（いちどに）,all at once,<em>(no usage table)</em>,,,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%80%e5%ba%a6%e3%81%ab-ichido-ni-meaning/
ikura~temo,いくら～ても,Learn Japanese grammar: (ikura~temo). Meaning: no matter how ~. Review the lesson for if necessary. This may also be used as .,"<table class=""table table-bordered table-sm usage""><tbody><tr><td rowspan=""4"">いくら</td><td>Verb (ても form)</td></tr><tr><td>Noun + でも</td></tr><tr><td>な-adjective + でも</td></tr><tr><td>い-adjective + <s>い</s>くても</td></tr></tbody></table>",Example #1お金はいくらあっても困りません。hintromajiEnglishおかねはいくらあってもこまりません。okane wa ikura attemo komarimasen.You can never have too much money.,"Example #2これはいくら安くても、買いたくない。hintromajiEnglishこれはいくらやすくても、かいたくない。kore wa ikura yasukutemo, kaitakunai.No matter how cheap this is, I don't want to buy it.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%84%e3%81%8f%e3%82%89%ef%bd%9e%e3%81%a6%e3%82%82-ikura-temo-meaning/
ippou da,一方だ（いっぽうだ）,more and more; continue to ~,<em>(no usage table)</em>,,,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%80%e6%96%b9%e3%81%a0-ippou-da-meaning/
ittai,一体（いったい）,"Learn Japanese grammar: 【いったい】(ittai). Meaning: emphasis; what on earth; what in the world. This can be used when asking about something surprising, confusing, or unbelievable....","<table class=""table table-bordered table-sm usage""><tbody><tr><td>一体<br/>いったい</td><td>question</td></tr></tbody></table>",Example #1一体どこで彼に会ったんだ。hintromajiEnglishいったいどこでかれにあったんだ。ittai doko de kare ni atta nda.Where on earth did you meet him?,Example #2あなたは一体何をしていますか？hintromajiEnglishあなたはいったいなにをしていますか？anata wa ittai nani o shite imasu ka?What exactly are you doing?,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%80%e4%bd%93-%e3%81%84%e3%81%a3%e3%81%9f%e3%81%84-ittai-meaning/
janai,じゃない,Learn Japanese grammar: (janai). Meaning: maybe; most likely; confirmation of information; express surprise towards listener. This is used at the end of a phrase to...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Phrase</td><td>じゃない</td></tr></tbody></table>",Example #1トムさんも来るじゃない？hintromajiEnglishトムさんもくるじゃない？tomu san mo kuru janai?Tom will surely come as well?,"Example #2あそこにいる人って、田中先生じゃない？hintromajiEnglishあそこにいるひとって、たなかせんせいじゃない？asoko ni iru hito tte, tanaka sensei janai?Isn't that person over there Mr. Tanaka?",https://jlptsensei.com/learn-japanese-grammar/%e3%81%98%e3%82%83%e3%81%aa%e3%81%84-janai-meaning/
ka nani ka,か何か（かなにか）,Learn Japanese grammar: 【かなにか】(ka nani ka). Meaning: or something ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td>か何か</td></tr></tbody></table>",Example #1彼は病気か何かだろう。hintromajiEnglishかれはびょうきかなにかだろう。kare wa byouki ka nani ka darou.He must be sick or something.,Example #2オレンジジュースか何か欲しいな。hintromajiEnglishオレンジジュースかなにかほしいな。orenji juusu ka nani ka hoshii na.I want some orange juice or something.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e4%bd%95%e3%81%8b-ka-nani-ka-meaning/
kakeru,かける,Learn Japanese grammar: (kakeru) & (kakeno). Meaning: half-; not yet finished; in the middle of~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb <s>ます</s> (stem form)</td><td>かける<br/>かけの</td></tr></tbody></table>",Example #1お風呂に入りかけたときに電話が鳴った。hintromajiEnglishおふろにはいりかけたときにでんわがなった。ofuro ni hairi kaketa toki ni denwa ga natta.The phone rang when I was about to get in the bath.,Example #2この本はまだ読みかけだ。hintromajiEnglishこのほんはまだよみかけだ。kono hon wa mada yomikake da.I haven’t finished this book yet.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%81%91%e3%82%8b-kakeru-meaning/
kara~ni kakete,から〜にかけて,Learn Japanese grammar: (kara~ni kakete). Meaning: through; from [A] to [B]. This is based on the lesson for .,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun-1</td><td>から</td><td>Noun-2</td><td>にかけて</td></tr></tbody></table>",Example #1東京から京都にかけて新幹線で行くのは何時間かかるの？hintromajiEnglishとうきょうからきょうとにかけてしんかんせんでいくのはなんじかんかかるの？toukyou kara kyouto ni kakete shinkansen de iku no wa nan jikan kakaru no?How long does it take to get from Tokyo to Kyoto by bullet train?,Example #2午前から夕方にかけて昼寝をした。hintromajiEnglishごぜんからゆうがたにかけてひるねをした。gozen kara yuugata ni kakete hirune o shita.I took a nap from morning until evening.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%82%89%e3%80%9c%e3%81%ab%e3%81%8b%e3%81%91%e3%81%a6-kara-ni-kakete-meaning/
